hhid,payment_cycle,scheduled_date,actual_date,provider,transfer_amount_expected,transfer_amount_paid,failed_payment,failure_reason
HH00001,1,2025-07-01,2025-07-11,LumoraPay,65,65,0,
HH00001,2,2025-08-30,2025-09-04,LumoraPay,65,65,0,
HH00001,3,2025-10-29,2025-11-06,LumoraPay,65,65,0,
HH00001,4,2025-12-28,2026-01-01,LumoraPay,65,65,0,
HH00002,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00002,2,2025-08-30,2025-09-08,MobileCash,65,65,0,
HH00002,3,2025-10-29,2025-11-05,MobileCash,65,65,0,
HH00002,4,2025-12-28,2026-01-08,MobileCash,65,65,0,
HH00003,1,2025-07-01,,PostBank,0,0,0,
HH00003,2,2025-08-30,,PostBank,0,0,0,
HH00003,3,2025-10-29,,PostBank,0,0,0,
HH00003,4,2025-12-28,,PostBank,0,0,0,
HH00004,1,2025-07-01,,LumoraPay,0,0,0,
HH00004,2,2025-08-30,,LumoraPay,0,0,0,
HH00004,3,2025-10-29,,LumoraPay,0,0,0,
HH00004,4,2025-12-28,,LumoraPay,0,0,0,
HH00005,1,2025-07-01,2025-07-08,PostBank,65,65,0,
HH00005,2,2025-08-30,2025-09-02,PostBank,65,65,0,
HH00005,3,2025-10-29,2025-11-07,PostBank,65,65,0,
HH00005,4,2025-12-28,2025-12-30,PostBank,65,65,0,
HH00006,1,2025-07-01,2025-07-08,MobileCash,65,65,0,
HH00006,2,2025-08-30,2025-09-12,MobileCash,65,65,0,
HH00006,3,2025-10-29,2025-11-09,MobileCash,65,65,0,
HH00006,4,2025-12-28,2026-01-05,MobileCash,65,65,0,
HH00007,1,2025-07-01,2025-07-07,PostBank,65,65,0,
HH00007,2,2025-08-30,2025-08-31,PostBank,65,65,0,
HH00007,3,2025-10-29,2025-10-29,PostBank,65,65,0,
HH00007,4,2025-12-28,2026-01-03,PostBank,65,65,0,
HH00008,1,2025-07-01,2025-07-07,LumoraPay,0,65,0,
HH00008,2,2025-08-30,,LumoraPay,0,0,0,
HH00008,3,2025-10-29,,LumoraPay,0,0,0,
HH00008,4,2025-12-28,,LumoraPay,0,0,0,
HH00009,1,2025-07-01,2025-07-03,MobileCash,65,65,0,
HH00009,2,2025-08-30,2025-09-07,MobileCash,65,65,0,
HH00009,3,2025-10-29,2025-11-09,MobileCash,65,55,0,
HH00009,4,2025-12-28,2026-01-02,MobileCash,65,65,0,
HH00010,1,2025-07-01,2025-07-05,LumoraPay,65,65,0,
HH00010,2,2025-08-30,2025-09-10,LumoraPay,65,65,0,
HH00010,3,2025-10-29,2025-11-05,LumoraPay,65,65,0,
HH00010,4,2025-12-28,2025-12-29,LumoraPay,65,65,0,
HH00011,1,2025-07-01,,PostBank,0,0,0,
HH00011,2,2025-08-30,,PostBank,0,0,0,
HH00011,3,2025-10-29,,PostBank,0,0,0,
HH00011,4,2025-12-28,,PostBank,0,0,0,
HH00012,1,2025-07-01,,MobileCash,0,0,0,
HH00012,2,2025-08-30,,MobileCash,0,0,0,
HH00012,3,2025-10-29,,MobileCash,0,0,0,
HH00012,4,2025-12-28,,MobileCash,0,0,0,
HH00013,1,2025-07-01,2025-07-05,MobileCash,65,65,0,
HH00013,2,2025-08-30,2025-09-07,MobileCash,65,65,0,
HH00013,3,2025-10-29,2025-11-08,MobileCash,65,65,0,
HH00013,4,2025-12-28,2025-12-30,MobileCash,65,65,0,
HH00014,1,2025-07-01,2025-07-06,LumoraPay,65,65,0,
HH00014,2,2025-08-30,2025-09-05,LumoraPay,65,65,0,
HH00014,3,2025-10-29,2025-10-29,LumoraPay,65,65,0,
HH00014,4,2025-12-28,2026-01-02,LumoraPay,65,65,0,
HH00015,1,2025-07-01,,LumoraPay,0,0,0,
HH00015,2,2025-08-30,,LumoraPay,0,0,0,
HH00015,3,2025-10-29,,LumoraPay,0,0,0,
HH00015,4,2025-12-28,,LumoraPay,0,0,0,
HH00016,1,2025-07-01,2025-07-03,MobileCash,65,65,0,
HH00016,2,2025-08-30,2025-09-09,MobileCash,65,65,0,
HH00016,3,2025-10-29,,MobileCash,65,0,1,provider outage
HH00016,4,2025-12-28,2026-01-02,MobileCash,65,65,0,
HH00017,1,2025-07-01,2025-07-03,PostBank,65,65,0,
