submission_id,hhid,round,enum_id,start_time,end_time,duration_minutes,consent,refusal,gps_accuracy,module_missing_count,dont_know_count
SUB00001,HH00001,followup,EN15,2026-03-13 09:23:00,2026-03-13 10:16:00,37.1,1,0,10.7,0,2
SUB00002,HH00002,followup,EN06,2026-03-08 09:45:00,2026-03-08 10:42:00,41.0,0,0,24.4,0,1
SUB00003,HH00003,followup,EN09,2026-04-11 09:10:00,2026-04-11 10:10:00,33.3,1,0,19.8,0,1
SUB00004,HH00004,followup,EN11,2026-03-18 09:39:00,2026-03-18 10:28:00,44.6,1,0,15.4,0,4
SUB00005,HH00005,followup,EN13,2026-03-09 09:08:00,2026-03-09 10:13:00,27.8,0,1,18.8,0,0
SUB00006,HH00006,followup,EN07,2026-03-03 09:21:00,2026-03-03 10:56:00,26.0,1,0,29.8,0,1
SUB00007,HH00007,followup,EN05,2026-04-01 09:43:00,2026-04-01 10:21:00,45.4,1,0,15.8,0,1
SUB00008,HH00008,followup,EN02,2026-03-05 09:45:00,2026-03-05 10:59:00,33.0,1,0,8.7,0,2
SUB00009,HH00009,followup,EN04,2026-03-14 09:32:00,2026-03-14 10:15:00,38.3,1,0,19.0,0,0
SUB00010,HH00010,followup,EN09,2026-03-31 09:37:00,2026-03-31 10:16:00,24.7,1,0,43.7,0,0
SUB00011,HH00011,followup,EN05,2026-04-05 09:13:00,2026-04-05 10:40:00,40.5,0,0,25.2,0,1
SUB00012,HH00012,followup,EN11,2026-04-14 09:01:00,2026-04-14 10:56:00,41.5,1,0,6.7,0,3
SUB00013,HH00013,followup,EN10,2026-03-06 09:43:00,2026-03-06 10:18:00,46.3,1,0,8.3,0,2
SUB00014,HH00014,followup,EN03,2026-03-16 09:40:00,2026-03-16 10:23:00,5.9,1,0,28.3,0,0
SUB00015,HH00015,followup,EN10,2026-04-05 09:06:00,2026-04-05 10:11:00,39.3,1,0,27.4,0,0
SUB00016,HH00016,followup,EN05,2026-03-01 09:21:00,2026-03-01 10:42:00,31.6,1,0,31.3,0,2
SUB00017,HH00017,followup,EN06,2026-03-04 09:49:00,2026-03-04 10:15:00,35.0,1,0,23.1,0,0
SUB00018,HH00018,followup,EN06,2026-04-14 09:48:00,2026-04-14 10:45:00,28.1,1,0,23.3,0,1
SUB00019,HH00019,followup,EN13,2026-04-14 09:07:00,2026-04-14 10:23:00,38.3,1,0,12.0,0,1
SUB00020,HH00020,followup,EN03,2026-03-02 09:16:00,2026-03-02 10:35:00,16.9,1,0,6.8,0,2
SUB00021,HH00021,followup,EN05,2026-03-11 09:25:00,2026-03-11 10:10:00,39.7,1,0,25.2,0,1
SUB00022,HH00022,followup,EN01,2026-03-05 09:25:00,2026-03-05 10:22:00,46.2,1,0,4.7,0,2
SUB00023,HH00023,followup,EN02,2026-04-11 09:00:00,2026-04-11 10:46:00,40.1,1,0,5.1,0,0
SUB00024,HH00024,followup,EN01,2026-03-20 09:36:00,2026-03-20 10:23:00,41.1,1,0,12.9,0,1
SUB00025,HH00025,followup,EN01,2026-03-25 09:35:00,2026-03-25 10:43:00,42.0,1,0,7.9,0,1
SUB00026,HH00026,followup,EN16,2026-04-10 09:26:00,2026-04-10 10:06:00,38.3,1,0,24.9,0,0
SUB00027,HH00027,followup,EN03,2026-04-04 09:05:00,2026-04-04 10:44:00,15.9,0,0,22.1,0,0
SUB00028,HH00028,followup,EN09,2026-03-21 09:35:00,2026-03-21 10:21:00,38.3,1,0,26.6,0,1
SUB00029,HH00029,followup,EN16,2026-04-10 09:07:00,2026-04-10 10:29:00,37.8,1,0,18.9,0,0
SUB00030,HH00030,followup,EN03,2026-03-25 09:49:00,2026-03-25 10:00:00,17.1,0,0,3,1,0
SUB00031,HH00031,followup,EN04,2026-03-08 09:27:00,2026-03-08 10:29:00,28.4,1,0,33.0,0,0
SUB00032,HH00032,followup,EN12,2026-03-11 09:13:00,2026-03-11 10:43:00,31.6,0,0,9.8,0,2
SUB00033,HH00033,followup,EN10,2026-03-10 09:29:00,2026-03-10 10:13:00,45.5,1,0,25.2,0,0
SUB00034,HH00034,followup,EN14,2026-03-02 09:19:00,2026-03-02 10:26:00,29.4,1,0,21.9,0,1
SUB00035,HH00035,followup,EN03,2026-03-08 09:08:00,2026-03-08 10:13:00,14.6,1,0,7.6,0,1
SUB00036,HH00036,followup,EN11,2026-03-02 09:19:00,2026-03-02 10:46:00,42.5,1,0,17.1,0,4
SUB00037,HH00037,followup,EN07,2026-03-18 09:44:00,2026-03-18 10:01:00,48.3,1,0,3.6,0,0
SUB00038,HH00038,followup,EN15,2026-04-02 09:54:00,2026-04-02 10:51:00,53.9,1,0,25.7,0,0
SUB00039,HH00039,followup,EN08,2026-04-07 09:41:00,2026-04-07 10:05:00,44.5,1,0,32.7,0,1
SUB00040,HH00040,followup,EN13,2026-03-14 09:59:00,2026-03-14 10:38:00,37.0,0,1,42.4,0,1
SUB00041,HH00041,followup,EN07,2026-03-23 09:23:00,2026-03-23 10:23:00,39.0,1,0,7.8,0,1
SUB00042,HH00042,followup,EN09,2026-04-10 09:41:00,2026-04-10 10:32:00,51.1,1,0,24.7,0,1
SUB00043,HH00043,followup,EN14,2026-03-15 09:40:00,2026-03-15 10:15:00,34.4,1,0,24.6,0,1
SUB00044,HH00044,followup,EN04,2026-04-08 09:38:00,2026-04-08 10:32:00,49.0,1,0,38.4,0,0
SUB00045,HH00045,followup,EN03,2026-04-13 09:47:00,2026-04-13 10:25:00,7.1,1,0,17.3,0,1
SUB00046,HH00046,followup,EN16,2026-03-30 09:31:00,2026-03-30 10:10:00,43.2,1,0,13.6,0,0
SUB00047,HH00047,followup,EN07,2026-03-24 09:32:00,2026-03-24 10:51:00,39.0,1,0,3,0,0
SUB00048,HH00048,followup,EN03,2026-03-07 09:46:00,2026-03-07 10:28:00,20.1,1,0,11.4,0,0
SUB00049,HH00049,followup,EN01,2026-04-13 09:08:00,2026-04-13 10:39:00,53.3,1,0,24.1,0,0
SUB00050,HH00050,followup,EN02,2026-03-19 09:09:00,2026-03-19 10:16:00,35.6,1,0,25.5,0,1
SUB00051,HH00051,followup,EN16,2026-04-13 09:38:00,2026-04-13 10:46:00,25.5,1,0,6.9,0,2
SUB00052,HH00052,followup,EN10,2026-03-17 09:41:00,2026-03-17 10:47:00,26.6,1,0,19.8,0,2
SUB00053,HH00053,followup,EN12,2026-03-28 09:55:00,2026-03-28 10:45:00,41.7,1,0,28.5,0,1
SUB00054,HH00054,followup,EN16,2026-03-12 09:06:00,2026-03-12 10:43:00,32.9,1,0,15.0,0,1
SUB00055,HH00055,followup,EN05,2026-03-29 09:00:00,2026-03-29 10:06:00,51.5,1,0,18.3,0,0
SUB00056,HH00056,followup,EN02,2026-04-14 09:11:00,2026-04-14 10:21:00,42.2,1,0,7.2,0,0
